date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:47:34	353254/353254	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Mar%202023%2004:17:34%20GMT	https://customize-portfolio.blogspot.com/authors/admin/index.html	C:/My%20Web%20Sites/portfolioblogger/customize-portfolio.blogspot.com/authors/admin/index.d.delayed	(from https://customize-portfolio.blogspot.com/)
09:47:38	353332/353332	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Mar%202023%2004:17:38%20GMT	https://customize-portfolio.blogspot.com/authors/mallar-chakravarty/index.html	C:/My%20Web%20Sites/portfolioblogger/customize-portfolio.blogspot.com/authors/mallar-chakravarty/index.e.delayed	(from https://customize-portfolio.blogspot.com/)
09:47:40	353302/353302	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Mar%202023%2004:17:40%20GMT	https://customize-portfolio.blogspot.com/publication/brainhack/index.html	C:/My%20Web%20Sites/portfolioblogger/customize-portfolio.blogspot.com/publication/brainhack/index.f.delayed	(from https://customize-portfolio.blogspot.com/)
09:47:42	353296/353296	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Mar%202023%2004:17:41%20GMT	https://customize-portfolio.blogspot.com/publication/prime-re/index.html	C:/My%20Web%20Sites/portfolioblogger/customize-portfolio.blogspot.com/publication/prime-re/index.10.delayed	(from https://customize-portfolio.blogspot.com/)
09:47:45	353338/353338	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Mar%202023%2004:17:44%20GMT	https://customize-portfolio.blogspot.com/authors/p.-christiaan-klink/index.html	C:/My%20Web%20Sites/portfolioblogger/customize-portfolio.blogspot.com/authors/p.-christiaan-klink/index.11.delayed	(from https://customize-portfolio.blogspot.com/)
09:47:48	353266/353266	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Mar%202023%2004:17:47%20GMT	https://customize-portfolio.blogspot.com/publication/cpm/index.html	C:/My%20Web%20Sites/portfolioblogger/customize-portfolio.blogspot.com/publication/cpm/index.12.delayed	(from https://customize-portfolio.blogspot.com/)
09:47:49	353320/353320	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Mar%202023%2004:17:49%20GMT	https://customize-portfolio.blogspot.com/publication/medetomidine/index.html	C:/My%20Web%20Sites/portfolioblogger/customize-portfolio.blogspot.com/publication/medetomidine/index.13.delayed	(from https://customize-portfolio.blogspot.com/)
09:47:51	353176/353176	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Mar%202023%2004:17:50%20GMT	https://customize-portfolio.blogspot.com/default.jpg	C:/My%20Web%20Sites/portfolioblogger/customize-portfolio.blogspot.com/default.14.delayed	(from https://customize-portfolio.blogspot.com/)
09:47:53	353188/353188	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Mar%202023%2004:17:52%20GMT	https://customize-portfolio.blogspot.com/mqdefault.jpg	C:/My%20Web%20Sites/portfolioblogger/customize-portfolio.blogspot.com/mqdefault.15.delayed	(from https://customize-portfolio.blogspot.com/)
09:47:55	1439/1439	---M--	200	added ('OK')	image/png	etag:%22v74b%22	http://1.bp.blogspot.com/-eAeO-DYJDws/Vkqtj4HFBFI/AAAAAAAAB0o/Q5OLsyONXM0/s1600-r/nth.png	C:/My%20Web%20Sites/portfolioblogger/1.bp.blogspot.com/-eAeO-DYJDws/Vkqtj4HFBFI/AAAAAAAAB0o/Q5OLsyONXM0/s1600-r/nth.png	(from https://customize-portfolio.blogspot.com/)
09:47:55	3093/3093	---M-Z	200	added ('OK')	application/x-javascript	etag:%221ca259f468a1780ec35fa3d1fd3bfb76%22	https://connect.facebook.net/en_US/sdk.js	C:/My%20Web%20Sites/portfolioblogger/connect.facebook.net/en_US/sdk.js	(from https://customize-portfolio.blogspot.com/)
09:47:57	157425/157425	---M--	200	added ('OK')	text/javascript	date:Wed,%2008%20Mar%202023%2018:03:19%20GMT	https://www.blogger.com/static/v1/widgets/1163011050-widgets.js	C:/My%20Web%20Sites/portfolioblogger/www.blogger.com/static/v1/widgets/1163011050-widgets.js	(from https://customize-portfolio.blogspot.com/)
09:47:58	233/233	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Mar%202023%2013:49:54%20GMT	https://www.blogger.com/img/widgets/stats-flipper.png	C:/My%20Web%20Sites/portfolioblogger/www.blogger.com/img/widgets/stats-flipper.png	(from https://www.blogger.com/static/v1/widgets/2975350028-css_bundle_v2.css)
09:47:59	335/335	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Mar%202023%2005:53:53%20GMT	https://resources.blogblog.com/img/widgets/s_top.png	C:/My%20Web%20Sites/portfolioblogger/resources.blogblog.com/img/widgets/s_top.png	(from https://www.blogger.com/static/v1/widgets/2975350028-css_bundle_v2.css)
